127.0.0.1, 2015-05-07 11:12:26, GET, /welcome/static/css/bootstrap-theme.min.css, HTTP/1.1, 200, 0.002576
127.0.0.1, 2015-05-07 11:12:26, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000361
127.0.0.1, 2015-05-07 11:12:26, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000340
127.0.0.1, 2015-05-07 11:12:26, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000256
127.0.0.1, 2015-05-07 11:12:26, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000707
127.0.0.1, 2015-05-07 11:12:26, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.000330
127.0.0.1, 2015-05-07 11:12:26, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000937
127.0.0.1, 2015-05-07 11:12:27, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000435
127.0.0.1, 2015-05-07 11:12:27, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.000337
127.0.0.1, 2015-05-07 11:12:27, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff, HTTP/1.1, 200, 0.000289
127.0.0.1, 2015-05-07 11:12:27, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.000759
127.0.0.1, 2015-05-07 11:12:27, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000621
127.0.0.1, 2015-05-07 11:12:27, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000504
127.0.0.1, 2015-05-07 11:12:53, GET, /welcome/default/index, HTTP/1.1, 200, 0.046428
127.0.0.1, 2015-05-07 11:12:53, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000275
127.0.0.1, 2015-05-07 11:14:50, GET, /, HTTP/1.1, 303, 0.000676
127.0.0.1, 2015-05-07 11:14:50, GET, /welcome/default/index, HTTP/1.1, 200, 0.021581
127.0.0.1, 2015-05-07 11:14:50, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000369
172.16.18.60, 2015-05-07 11:14:59, GET, /, HTTP/1.0, 303, 0.000731
172.16.18.60, 2015-05-07 11:14:59, GET, /welcome/default/index, HTTP/1.0, 200, 0.023423
172.16.18.60, 2015-05-07 11:14:59, GET, /welcome/static/css/bootstrap-theme.min.css, HTTP/1.0, 200, 0.001333
172.16.18.60, 2015-05-07 11:14:59, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.0, 200, 0.000778
172.16.18.60, 2015-05-07 11:14:59, GET, /welcome/static/js/jquery.js, HTTP/1.0, 200, 0.001293
172.16.18.60, 2015-05-07 11:14:59, GET, /welcome/static/js/web2py.js, HTTP/1.0, 200, 0.000372
172.16.18.60, 2015-05-07 11:14:59, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.0, 200, 0.000366
172.16.18.60, 2015-05-07 11:14:59, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.0, 200, 0.001213
172.16.18.60, 2015-05-07 11:14:59, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.0, 200, 0.001738
172.16.18.60, 2015-05-07 11:14:59, GET, /welcome/static/css/calendar.css, HTTP/1.0, 200, 0.003570
172.16.18.60, 2015-05-07 11:14:59, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.0, 200, 0.001050
172.16.18.60, 2015-05-07 11:14:59, GET, /welcome/static/js/share.js, HTTP/1.0, 200, 0.000866
172.16.18.60, 2015-05-07 11:14:59, GET, /welcome/static/js/calendar.js, HTTP/1.0, 200, 0.000812
172.16.18.60, 2015-05-07 11:14:59, GET, /welcome/static/images/favicon.ico, HTTP/1.0, 200, 0.000439
172.16.18.60, 2015-05-07 11:14:59, GET, /welcome/static/images/background.jpg, HTTP/1.0, 200, 0.000371
172.16.18.60, 2015-05-07 11:14:59, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff, HTTP/1.0, 200, 0.000552
172.16.18.60, 2015-05-07 11:14:59, GET, /welcome/static/images/twitter.png, HTTP/1.0, 200, 0.001205
172.16.18.60, 2015-05-07 11:14:59, GET, /welcome/static/images/facebook.png, HTTP/1.0, 200, 0.000743
172.16.18.60, 2015-05-07 11:14:59, GET, /welcome/static/images/gplus-32.png, HTTP/1.0, 200, 0.000587
172.16.18.60, 2015-05-07 11:18:38, GET, /welcome/default/index, HTTP/1.0, 200, 0.014937
172.16.18.60, 2015-05-07 11:18:38, GET, /welcome/static/js/share.js, HTTP/1.0, 304, 0.000283
172.16.18.60, 2015-05-07 11:27:46, GET, /welcome/default/user/login, HTTP/1.0, 200, 0.060592
172.16.18.60, 2015-05-07 11:27:46, GET, /welcome/static/js/share.js, HTTP/1.0, 304, 0.000417
172.16.18.60, 2015-05-07 11:27:57, POST, /welcome/default/user/login, HTTP/1.0, 200, 0.026578
172.16.18.60, 2015-05-07 11:27:57, GET, /welcome/static/js/share.js, HTTP/1.0, 304, 0.000349
172.16.18.60, 2015-05-07 11:28:00, GET, /welcome/default/user/register, HTTP/1.0, 200, 0.042121
172.16.18.60, 2015-05-07 11:28:00, GET, /welcome/static/js/share.js, HTTP/1.0, 304, 0.000349
172.16.18.60, 2015-05-07 11:28:03, POST, /welcome/default/user/register, HTTP/1.0, 200, 0.039661
172.16.18.60, 2015-05-07 11:28:03, GET, /welcome/static/js/share.js, HTTP/1.0, 304, 0.000413
172.16.18.60, 2015-05-07 11:28:11, GET, /welcome/default/user/register, HTTP/1.0, 200, 0.024647
172.16.18.60, 2015-05-07 11:28:13, GET, /welcome/default/user/register, HTTP/1.0, 200, 0.021427
172.16.18.60, 2015-05-07 11:28:16, GET, /welcome/default/index, HTTP/1.0, 200, 0.040387
172.16.18.60, 2015-05-07 11:28:16, GET, /welcome/static/js/share.js, HTTP/1.0, 304, 0.000355
172.16.18.60, 2015-05-07 11:29:41, GET, /welcome/default/user/login, HTTP/1.0, 200, 0.023193
172.16.18.60, 2015-05-07 11:29:41, GET, /welcome/static/js/share.js, HTTP/1.0, 304, 0.000169
172.16.18.60, 2015-05-07 11:29:49, GET, /welcome/default/index, HTTP/1.0, 200, 0.028113
172.16.18.60, 2015-05-07 11:29:50, GET, /welcome/static/js/share.js, HTTP/1.0, 304, 0.000168
